breed,name,weight,life_exp,country,wool,height,colors,history
"abyssinian","Abyssinian","6 to 10 pounds","9 to 15 years","Abyssinia (Ethiopia)","Shorthair","8.0'-10.0'","sorrel, blue, chocolate, lilac, fawn, silver","Showing cats was all the rage in the late Victorian era. One of the unusual breeds exhibited at the Crystal Palace Cat Show in 1871 was an Abyssinian — “captured in the late Abyssinian War' — who took third place. The report on the cat show, published in the January 27, 1872, issue of Harper’s Weekly, was the first known mention in print of the breed. Unfortunately, no records exist regarding the cats’ origins, although myths and speculation abound, including claims that it was the cat of the pharaohs, and that it was created in Britain by crossing silver and brown tabbies with cats that had “ticked' coats. Today, genetic evidence suggests that the cats came from Indian Ocean coastal regions and parts of Southeast Asia. British and Dutch traders may well have brought the cats from ports such as Calcutta, India, or the islands of Indonesia. A taxidermied specimen of a ruddy ticked cat exhibited in the 1830s at the Leiden Zoological Museum in The Netherlands, where he was labeled “Patrie, domestica India,' gives creedence to that theory. The cats were probably given the name Abyssinian because Zula, the cat exhibited at the Crystal Palace, was said to have been imported from Abyssinia (now Ethiopia). Early pedigrees show crosses to non-Abyssinian cats, which may explain the introduction of new coat colors and the gene for long hair. American cat fanciers first imported some Abyssinians in 1900, but Abyssinian breeding programs didn’t get a real start in the United States until the 1930s, when more of the cats were imported from Britain. It’s a good thing that a number of cats were exported to the U.S. because World War II devastated the breed. Only a dozen of the cats had survived in England by the end of the war. The breed bounced back, however, and has become one of the most popular cat breeds."
"birman","Birman","6 to 12 pounds","12 to 16 years","Burma/France","Longhair","8.0'-10.0'","white","A beautiful cat deserves a beautiful legend of origin. The Sacred Cat of Burma, as the Birman is sometimes called, is said to have acquired his striking appearance through the intervention of a blue-eyed goddess, who rewarded a temple cat’s love for and devotion to his priest by turning his white coat golden and changing his yellow eyes to blue. His paws remained white as a symbol of his purity. Ever since, the temple cats have borne the goddess’s marks of favor, and it was said that priests who died were reborn into the cats’ bodies. How the cats really came to be is unknown. Theories include crosses of Siamese with Angoras or Persians, but when or where those original meetups occurred is unknown. They may have taken place in southeast Asia, between various cats who carried the genes for a pointed pattern, long hair and blue eyes, or the breed may have been created in France from cats imported by two Europeans, a Frenchman named Auguste Pavie, and a Major Gordon Russell, who were given a pair of temple cats in 1919 as a reward for aiding the priests. The cats were shipped to France, but the male did not make it there alive. Before he died, however, he had impregnated the female, and her kittens helped to establish the breed in Europe. It was recognized in France in 1925 as the Sacre de Birmanie, from which comes the current breed name, Birman. The cats were first imported to the United States in 1959 and were recognized by the Cat Fanciers Association in 1967. They are also recognized by the American Cat Fanciers Association, the Canadian Cat Association, the Cat Fanciers Federation and The International Cat Association."
"bombay","Bombay","8 to 15 pounds","12 to 20 years","Kentucky, USA","Shorthair","11.0'-14.0'","black","Cat breeders are an experimental lot, creating distinctive new breeds either by building on natural genetic mutations or by crossing breeds to achieve a new look, color or pattern. The Bombay, named for the exotic port city of India, has no connection with the subcontinent but was created from crosses between sable Burmese and black American Shorthairs to resemble a black panther in miniature. Breeder Nikki Horner of Louisville, Kentucky, is credited with developing the Bombay, starting in the late 1950s. Her goal was a sleek, shiny black cat with a muscular body and friendly temperament. British breeders achieved the same look and personality with crosses of Burmese and black domestic shorthairs. The Cat Fanciers Association gave the Bombay full recognition in 1978. Today the breed is recognized by all cat associations. To maintain their body type and coat texture, Bombays may be outcrossed to sable Burmese. The CFA also permits outcrosses to black American Shorthairs, but this is rarely done because of differences in body type."
"british_shorthair","British Shorthair","7 to 17 pounds","12 to 17 years","Great Britain","Shorthair","12.0'-14.0'","white, black, blue, cream, various tabby patterns, tortoiseshell, calico","You may not realize it, but you probably grew up with the British Shorthair. He is the clever feline of Puss in Boots and the grinning Cheshire Cat of Alice in Wonderland. The British Shorthair is native to England. With the rise of cat shows during the Victorian era, cat fanciers began to breed the cats to a particular standard and keep pedigrees for them. At the earliest cat shows, British Shorthairs were the only pedigreed cats exhibited. All others were simply described by coat type or color. Two world wars devastated the breed, and few British Shorthairs remained after World War II. With the help of other breeds, the Shorthairs, as they are called in Britain, were revitalized. The American Cat Association recognized the British Shorthair in 1967, but the Cat Fanciers Association did not accept it until 1980. Now, all cat associations recognize the breed."
"egyptian_mau","Egyptian Mau","6 to 14 pounds","12 to 15 years","Egypt/Italy",""Shorthair,"8.0'-10.0'","silver with charcoal markings, bronze with dark brown or black markings, smoke with black markings","Whether the Mau is a product of thousands of years of Egyptian culture is a matter of debate, but if fanciers of the strikingly spotted cats wish to claim that they date to the times of the pharaohs, well, who knows? It could be true.The Egyptian Mau (mau being the Egyptian word for cat) is notable for being the only naturally spotted domesticated cat. In other words, the spotting pattern was not created by human manipulation of feline genes. The cats were known in Europe before World War II, but the devastation of the war left the breed in a perilous state. The breed as it is known today dates to a silver female kitten given to Russian princess Natalie Troubetskoy when she was living in Rome. Depending on the story, the kitten was given to her by a young boy who had been keeping it in a shoebox or she acquired one from the Egyptian ambassador to Italy. Troubetskoy named the kitten Baba. When she moved to the United States in 1956, Baba and two of her offspring came with her. Troubetskoy wanted to ensure that the Mau survived as a breed, so she wrote a breed standard and began breeding the cats under the cattery name Fatima. The breed was recognized in 1968 by the Cat Fanciers Federation, followed in 1977 by the Cat Fanciers’ Association. Importation of more Maus in the 1980s and again in 1991 increased the breed’s gene pool. Today the breed is recognized by most cat associations."
"maine_coon","Maine Coon","9 to 18 pounds","9 to 15 years","Maine, USA","Longhair","10'-16'","black, white, red (ginger), blue (grey), and cream, and there are at least 85 different coat colors and color combinations","The Maine Coon, as the name implies, hails from Maine, where the breed was known as a popular mouser, farm cat, and ship's cat, as far back as the early 19th century. They're a natural breed and little is known of their origins. Some say the Vikings brought them to North America, centuries before Columbus sailed the ocean blue. Others say that they're the descendants of longhaired cats belonging to Marie Antoinette, sent to America in advance of the doomed queen, who had hoped to escape there. Sea captains may have brought back longhaired cats that then mated with local shorthaired cats. One thing is for sure--the Maine Coon is not the result of a mating between a cat and a raccoon, even if their brown tabby coat and furry ringed tail suggest that biological impossibility. The resemblance is, however, how the cats got the Coon part of their name. In fact, Maine Coons who didn't have the brown tabby coat were called Maine Shags. The first published reference to a Maine Coon comes from 1861 and was about a black-and-white cat named Captain Jenks of the Horse Marines. A female Maine Coon was named Best Cat in 1895 at a cat show held in Madison Square Garden. In Boston and New York, the home-grown felines were popular exhibits at cat shows, and when the Cat Fanciers Association was formed in 1908, the fifth cat registered was a Maine Coon named Molly Bond. But the invasion of glamourous Persian and exotic Siamese cats from England around the turn of the century spelled the end of the Maine Coon's popularity for about five decades. Things took a turn for the better in the 1960s, and the Maine Coon Breeders and Fanciers Association was formed in 1968. Today these big, beautiful cats are among the world's most popular breeds. But what really counts, of course, is that they are the official state cat of Maine."
"persian","Persian","7 to 12 pounds","10 to 15 years","Iran","Longhair","8'-10'","white, black, red, blue, cream, silver, golden, chinchilla silver, shaded silver","The Persian is an old breed. To those who love this elegant cat, it will come as no surprise that the longhaired beauty originated in the cradle of civilization: Mesopotamia, which was later known as Persia and is now modern-day Iran. The breed’s long hair was probably the result of a natural mutation, and its striking appearance attracted the attention of 17th-century Italian nobleman and world traveler Pietro Della Valle, who is credited with bringing the first longhaired cats to Europe in 1626. At that time, the cats had shiny, silky gray fur, but thanks to selective breeding Persians are now found in a kaleidoscope of colors, including bi-color (a color plus white). Until the late 19th century, when breeding and showing cats became popular, longhaired cats from Persia, Turkey, Afghanistan and other exotic locales were known simply as “Asiatic' cats and were often bred together. At the Crystal Palace cat show in 1871, Persian-type cats were among the breeds exhibited. They were popular pets of the time and had a special cachet because of Queen Victoria’s fondness for the breed. Even in the Victoria era, association with a “celebrity' ensured an animal’s desirability. Through selective breeding, cat fanciers began to mold the Persian to its present-day appearance. They bred cats to have a round head, short face, snub nose, chubby cheeks, small, rounded ears, big eyes, and a sturdy body. Their fur was longer than that of the Angora cat, and they had shorter legs. Soon, the Persians surpassed the Angoras in popularity. In the United States, where they were first imported in the late 19th century, they also became favorites, edging out the longhaired Maine Coon cat, which had once held pride of place as an American sweetheart. In the little more than a century since, the Persian has become the most beloved cat breed in the world, prized for its beautiful appearance and sweet personality."
"ragdoll","Ragdoll","10 to 20 pounds","12 to 17 years","Riverside, California, USA","Longhair","9.0'-11.0'","red, seal, chocolate, blue, lilac, cream","In the family of cat breeds, Ragdolls are among the younger siblings. The cats were first developed by breeder Ann Baker in Riverside, California, in the 1960s. Baker’s foundation stock consisted of Josephine, a domestic longhair whose white coat concealed the genes for either a seal mitted or black tuxedo pattern, and various other longhaired cats of unknown ancestry that she owned or found in her neighborhood. Baker selected for cats with gentle, placid personalities, large size, and beautiful long coats characterized by a Himalayan pattern, the name for the “points' seen on Siamese-type cats. The result was a cat she called the Ragdoll, for its propensity to flop happily into the arms of anyone who picked it up. Later, Persians, Birmans and Burmese may also have contributed to the Ragdoll’s development. Baker made many unusual claims about the cats’ development, including alien influence, CIA experiments, and infusions of human genes, but that is all they are: claims, with no basis in fact. Other people had begun breeding Ragdolls as well. They broke away from Baker and formed the Ragdoll Fanciers Club International, with the goal of standardizing the breed and achieving recognition by cat registries. The Cat Fanciers Association began registering the cats in 1993 and gave them full recognition in 2000. Most registries now recognize the breed, including the American Cat Fanciers Association and The International Cat Association. Ragdolls are not outcrossed to any other breeds."
"russian_blue","Russian Blue","8 and 15 pounds","10 to 15 years","Russia, Arkhangelsk","Shorthair","8.0'-10.0'","bluish-gray","As with so many cat breeds, little is known of the Russian Blue’s origins. He probably does come from Russia—his thick coat is surely that of a cat from colder climes—and he is considered a natural breed, meaning Matushka Nature created him, not the handiwork of humans. The Russian Blue’s development as a breed, however, took place primarily in Britain and Scandinavia, starting in the late nineteenth century, when showing and breeding cats became a popular activity. The Russian Blue made his first appearance on the world stage of the cat fancy at an exhibit of cats held at London’s Crystal Palace in 1875. Labeled an Archangel Cat, because he was said to be from the Russian island of Archangel, he competed against other blue cats of varying types. A newspaper report of the show described the Russian Blue as “very handsome' and “particularly furry,' adding “They resemble mostly the common wild grey rabbit.' Other early names by which the breed was known were Maltese and Foreign Blue. A British cat fancier named Mrs. Carew-Cox began importing the cats in 1890 and bred and showed them through the turn of the century. She described them as having short, silvery fur, large ears, wide-set eyes and lean faces, with sweet, intelligent personalities—in short, much the same as the Russian Blue of today. In 1912, the cats were well enough established that they could be shown in a class of their own instead of being lumped together with other blue cats. World War II nearly put an end to the breed. Very few cats survived the years of privation, and British and Scandinavian breeders turned to other breeds, primarily the Siamese and the British Blue, to help revive their bloodlines. Because of the Siamese influence, the cats developed a more extreme look, and the texture of their coat changed. It took years to bring the breed back to its original appearance. That was achieved by combining British bloodlines, which emphasized plush, silvery coats, and Scandinavian bloodlines, which were known for producing cats with bright breen eyes and flat profiles. The result was the Russian Blue of moderate type seen today. Russian Blues were first imported to the United States in 1900, but it wasn’t until after World War II that American breeders began to develop their own lines from cats imported in 1947. Today they are popular show cats as well as companions to those who know the secret of their sweet beauty."
"siamese","Siamese","6 to 14 pounds","8 to 15 years","Thailand","Shorthair","8.0'-10.0'","blue, seal point, lilac, chocolate, fawn, caramel, cinnamon, red, tabby, tortie, cream","The sophisticated Siamese looks dressed for an elegant masquerade ball in pale evening wear with chic black accessories and tanzanite-blue eyes. Cats with light-colored coats set off with black mask, ears, paws and tail have been known in Thailand (formerly Siam) for centuries. Ancient manuscripts depict the cats, but they were not seen in the West until the late nineteenth century, when they were exhibited at the Crystal Palace Cat Show in London. Not everyone appreciated their unusual appearance, but they quickly became fashionable pets. By the turn of the century, if not earlier, they were popular in the United States as well. President Rutherford B. Hayes (1877-1881) and his wife Lucy were the recipients of a Siamese cat shipped to them in 1878 by David B. Sickels, a U. S. diplomat stationed at the consulate in Thailand. A letter from Sickels detailing the gift is on file at the Rutherford B. Hayes Presidential Center in Fremont, Ohio. At first, only the cats with seal points—a dark brownish-black—were shown, but blue, chocolate and lilac-point Siamese were soon developed and accepted in the show ring. Today Siamese come in many different point colors and patterns, including tabby points and smoke points. The Siamese itself is a natural breed, meaning its original pointed pattern was the result of a genetic mutation. The breed has contributed to the creation of many other breeds, including the Balinese, Oriental, the Himalayan division of the Persian, the Tonkinese and the Havana Brown. The Siamese is recognized by all cat associations. The International Cat Association also recognizes the Thai, described as the original form of the native pointed cat of Thailand. In Thailand the cats are called Wichienmaat. Some people refer to it as an old-style Siamese. It shares the pointed coat and domineering personality of the Siamese but has a more moderate body type."
