breed,name,height,weight,life_exp,group,country,history,colors
tibetan_terrier,Tibetan Terrier,14-17 inches,"18-30 pounds (male), slightly smaller (female)",15-16 years,Companion and Toy Dogs,tibet (china),"The breed name gets it only half right: Tibetan Terriers are Tibetan, but they’re not true terriers—not by blood, temperament, or job description. Westerners carelessly hung the name “terrier” on this typically Asian dog, and it stuck. An ancient breed developed in the splendid isolation of the Lost Valley, TTs are among several Tibetan dogs associated with Buddhist monasteries and the Dalai Lama. TTs are best known as companions and watchdogs, but during their long history they’ve worked as herders and flock guardians.","Black,Black & White,Black White & Gold,Brindle,Gold,Gold & White,Sable,White,White & Black,White & Gold,Black & Brindle,Black & Brown,Black & Gold,Black & White Brindle,Black Brown & White,Brindle & White,Brown,Brown & White,Fawn,Fawn & White,Gray,Gray & White,Red,Red & White,Sable & White,Silver,Silver & Black,Silver & White,Sable,Ticked"
border_collie,Border Collie,"19-22 inches (male), 18-21 inches (female)",30-55 pounds,12-15 years,Sheepdogs and Cattledogs (except Swiss Cattledogs),great britain,"During the glory days of the Roman Empire, successive emperors drew up plans to invade and conquer Britain. But, for various reasons—uprisings in other parts of the empire or shifting political situations—the plans were shelved. Finally, in the year 43, the emperor Claudius fulfilled this long-held dream of conquest.The Roman occupation of Britain had a great influence on virtually every aspect of British life. This included dog breeding. The occupying legions brought along their own food source: livestock. And where livestock goes, herding dogs are sure to follow. The large, heavy-boned herding dogs imported by the Romans remained a fixture on the British landscape for more than three centuries.During the long, slow dissolution of the Roman Empire, fierce Viking raiders took their turn invading Britain. They, too, brought along their dogs. These were smaller, quicker, spitz-type herders, progenitors of such contemporary breeds as the Icelandic Sheepdog. Crosses between the old Roman dogs and the Viking spitzes produced compact and agile herders, well equipped to work stock in the hilly, rocky highlands of Scotland and Wales. Thus began the history of the Border Collie.Borders have been called the world’s greatest herders, and anyone who’s seen them work—with their sweeping outruns, their stealthy crouching and creeping, and their explosive bursts of focused energy—would have to agree. When shepherds dream of the perfect dog, you can bet it’s a Border.As immortalized in the movie “Babe,” Borders have dominated competitive sheepdog trials in the British Isles for more than a hundred years. Borders also rule the championship levels of the fast-paced sport of agility, and they routinely top lists of world’s smartest dog breeds.The Border Collie joined the AKC Herding Group in 1995.","Black,Blue,Brindle,Gold,Lilac,Red,Sable,White & Black,White & Blue,White & Blue Merle,White & Red,White & Red Merle,Seal,Slate,White & Gold,White & Sable,White & Seal"
dhole,Dhole,17-22 inches,"22-37 pounds (female),33-46 pounds (male)",15–16 years,Not Recognized,Asia,"The first study on the origins of the species was conducted by paleontologist Erich Thenius, who concluded that the dhole was a post-Pleistocene descendant of a golden jackal-like ancestor. The earliest known member of the genus Cuon is the Chinese Cuon majori of the Villafranchian period.",Yellowish-Reddish Brown
clumber,Clumber,"18-20 inches (male), 17-19 inches (female)","70-85 pounds (male), 55-70 pounds (female)",10-12 years,Retrievers,great britain,"Early Clumber history is, one researcher writes, “lost in a tangled web of folklore and misinformation.” We can pick up a reliable trail in the late 1700s at Nottinghamshire, England. There, the Duke of Newcastle and his gamekeeper perfected a burly spaniel named for the duke’s vast estate, Clumber Park.Clumbers became a favorite of the many gamebird hunters among the area’s titled families and landed gentry. Since the duke’s day Clumbers have been popular with British royals, including Edward VII and George V (an important Clumber breeder in his day). The breed has been described by its partisans as naughty, mischievous, stubborn, affectionate, and entertaining, but through it all the Clumber retains the touch of regal dignity that marks him as a companion of crowned heads.As accessories of the British upper crust, Clumbers were popular subjects for leading sporting artists and portrait painters during the heyday of the British aristocracy. Seen today, these pictures show that the breed has changed but little in all the years since.Clumbers were on the scene for the very first British dog shows, held in the mid-1800s. They were introduced to America, by way of Canada, around the same time. Careful studbooks were kept on the breed in America even before the AKC was established, and the Clumber was among the AKC’s nine charter breeds when the organization was founded in 1884.",White
pembroke,Pembroke,10-12 inches,"up to 30 pounds (male), up to 28 pounds (female)",12-13 years,Sheepdogs and Cattledogs (except Swiss Cattledogs),great britain,"In medieval times, the kings of Europe advertised their majesty to their subjects and visiting emissaries by the richness of their possessions. Carpets, textiles, and tapestries were important factors in these displays of conspicuous consumption.The era’s best weavers were centered in Flanders, now northern Belgium. It was common for monarchs to stage talent raids to induce Flemish weavers to relocate to their kingdoms. So it was that in the year 1107, Henry I of Britain invited a community of these master craftsmen to live and work in southwestern Wales. The weavers accepted Henry’s invitation and brought all they needed to re-create their agrarian way of life in their new homeland. This included the dogs they bred to herd cattle and sheep. These sturdy, short-legged herders were the foundation for the breed we now know as the Pembroke Welsh Corgi.The Pembroke has been a distinctly separate breed from his cousin the Cardigan Welsh Corgi since the late 1800s, but the two breeds often intermingled in the old Welsh breeding centers of Pembrokeshire and Cardiganshire. Today, the most noticeable differences between the breeds are the ears (the Pembroke’s are pointed and erect, the Cardi’s rounded) and the tail (the Cardi tale is much longer than the Pembroke’s).The world’s most famous Pembroke fan is Elizabeth II. The queen got her first Pembroke, Dookie, in 1933 and has not been without one or more since.","Black & Tan,Fawn,Red,Sable"
kerry_blue_terrier,Kerry Blue Terrier,"18-19.5 inches (male), 17.5-19 inches (female)","33-40 pounds (male), females weigh slightly less than males",12-15 years,Terriers,ireland,"The Kerry is named for its home county. The mystery of its beginnings gave rise to charming blarney about leprechauns, shipwrecks, and other fanciful origin tales. We do know that Kerries were hardworking all-around farm dogs, cherished for their versatility. The breed was a mascot for patriots in the struggle for Irish independence, and since the early 20th century they’ve been top winners in the show ring. A Kerry named Mick was among the great show dogs of the 2000s.","Black,Blue,Blue & Black,Blue & Gray,Blue & Silver,Silver,Gray"
tibetan_mastiff,Tibetan Mastiff,"minimum 26 inches (male), minimum 24 inches (female)","90-150 pounds (male), 70-120 pounds (female)",10-12 years,Pinscher and Schnauzer,tibet (china),"No one really knows for sure. The breed is so ancient, and Tibet has always been so isolated, that it’s impossible to say how or when TMs came to be. We know that for millennia they were the mighty guardians of the Himalayas, and it’s thought that they’re the progenitor of all modern mastiffs. Evidence suggests that early travelers to Tibet were sometimes given these giants as gifts, which were used to create the mastiff breeds of the Middle East and Europe.","Black,Black & Tan,Blue Gray & Tan,Brown,Brown & Tan,Cream"
bedlington_terrier,Bedlington Terrier,15-17.5 inches,17-23 pounds,11-16 years,Terriers,great britain,"They look like lambs in the show ring, and they’re as gentle as lambs around the house. So, it comes as a bit of shock to discover that Bedlingtons spent most of the 1800s doing dirty, and sometimes deadly, work. Created in the Northumberland mining shire that gave the breed its name, Bedlingtons were a workingman’s dog expected to be versatile enough to be employed as coalmine ratters, varmint killers, and pit fighters. The breed acquired the nickname “Gypsy Dog” because it was used by the wandering Romanies as a stealthy poaching partner. An observer of the breed’s formative years wrote that the Bedlington was the “smartest and quickest of our terriers.”The first dog identified as a Bedlington Terrier, named Piper, was bred in 1825. It was said that Piper was so game that he was still dispatching badgers at age 14, and nearly blind and toothless. The nail makers of Bedlington took a fancy to the breed and became known for their plucky terriers. The shire’s miners and nailers wagered their salaries on epic dogfights, pitting their terriers against each other. A breed historian noted, “Bedlingtons were never a mischief maker, but once he started fighting, it was to the death.”Happily for us, Bedlingtons turned out to be even better lovers than fighters. Thanks to their ample charms, Bedlingtons eventually rose from coalmines and nail factories to the manor house. British elites found Bedlingtons to be bighearted, lovable companions, as well as attractive ornaments to their style-conscious lifestyle.Refinement and consistency in the breed began with the formation of England’s National Bedlington Terrier Club in 1877. Nine years later, the AKC registered its first Bedlington. Today’s citizens of Bedlington, England, are still proud of their most famous export. Bedlington’s Northern League soccer team is called the Terriers, and the town has recently installed park benches shaped like its fleecy mascot breed.","Blue,Blue & Tan,Liver,Liver & Tan,Sandy,Sandy & Tan"
walker_hound,Walker Hound,"22-27 inches (male), 20-25 inches (female)",50-70 pounds,12-13 years,Not recognized,United States,"Let’s unpack the name a word at a time. “Treeing” refers to a hound trailing the scent of his quarry until the quarry scurries up a tree for safety, with the hound camping out below and barking, vigorously and distinctively, for as long as it takes for the gun-toting hunter to arrive. “Walker” is Thomas Walker, of Virginia, who in the mid-1700s was a pivotal figure of the breed’s early development. “Coonhound” is a dog developed to “tree” raccoons and, sometimes, bigger game.The Treeing Walker Coonhound was developed from the Walker Foxhound, which evolved from the Virginia Hounds that descended from the earliest English Foxhounds that were brought to America. Originally classified as an English Coonhound, the Treeing Walker’s breeders broke away from the English version in 1945 and bred to retain the qualities they desired. It is a fast, hot-nosed, sensible hunter, with a clear, ringing bugle voice or a steady, clear chop with changeover at the tree. It locates its quarry quickly and has superb endurance and treeing ability. Known to range widely, it may leave the original track if it picks up a stronger scent. Extremely competitive because of its speed, the Treeing Walker’s reputation grew as night-hunts achieved popularity.Today the Treeing Walker retains the same color and similar conformation to the Walker Foxhound and is occasionally described as a trailing hound with treeing instinct.","Black,Tri-Colored,White,Blanket-Back,Saddle-Back"
black-and-tan_coonhound,Black-And-Tan Coonhound,"25-27 inches (male), 23-25 inches (female)",65-110 pounds,10-12 years,Scent hounds and related breeds,united states of america,"The raccoon is an unsung hero of American history. These plump, nocturnal creatures were a steady source of meat, fur, and fat for settlers who tamed the wild continent.The frontiersmen who lit out for the western and southern territories in post-Revolutionary times hoping to carve their fortune out of the wilderness faced a challenge: There was no dog breed fully equipped to hunt raccoon. The closest thing at hand were the foxhounds used by the landed gentry of the South on traditional English-style foxhunts. But foxhounds, bred to run at straightaway over the gently rolling acres of a plantation, were unsuited to the task. What America required was a whole new hound.With typical Yankee ingenuity, the frontiersmen crossed European hounds—foxhounds and Bloodhounds were surely in the mix—to create a uniquely American breed type, the coonhound. These hounds trail raccoon scent through moonlit woods and swamps until they “tree” their quarry, bawling along the way in a clear, musical voice to mark their location to rifle-toting hunters.To this day, the activity of treeing raccoons with hounds is called a “nite” hunt, with the intentional misspelling meant by the sport’s devotees as a tip of the coonskin cap to the untutored backwoodsmen who developed the B&T and America’s other coonhound breeds. Among the early coonhound enthusiasts was the legendary explorer, huntsman, and “cooner” Daniel Boone, whose beloved Kentucky became a hub of coonhound breeding. Truly, the B&T and his coonhound kinfolk are America’s dogs.In 1945, the B&T became the first coonhound breed registered by the AKC.",Black & Tan
